0,disease_name,Doctor,exercise,diet
1,Fungal infection,Doctor 1,exercise1,Diet1
2,Allergy,Doctor 2,exercise2,Diet2
3,GERD,Doctor 3,Yoga,Diet3
4,Chronic cholestasis,Doctor 4,exercise4,Diet4
5,Drug Reaction,Doctor 5,exercise5,Diet5
6,Peptic ulcer diseae,Doctor 6,exercise6,Diet6
7,AIDS,Doctor 7,exercise7,Diet7
8,Diabetes ,Doctor 8,exercise8,Diet8
9,Gastroenteritis,Doctor 9,exercise9,Diet9
10,Bronchial Asthma,Doctor 10,exercise10,Diet10
11,Hypertension ,Doctor 11,exercise11,Diet11
12,Migraine,Doctor 12,exercise12,Diet12
13,Cervical spondylosis,Doctor 13,exercise13,Diet13
14,Paralysis (brain hemorrhage),Doctor 14,exercise14,Diet14
15,Jaundice,Doctor 15,exercise15,Diet15
16,Malaria,Doctor 16,exercise16,Diet16
17,Chicken pox,Doctor 17,exercise17,Diet17
18,Dengue,Doctor 18,exercise18,Diet18
19,Typhoid,Doctor 19,exercise19,Diet19
20,hepatitis A,Doctor 20,exercise20,Diet20
21,Hepatitis B,Doctor 21,exercise21,Diet21
22,Hepatitis C,Doctor 22,exercise22,Diet22
23,Hepatitis D,Doctor 23,exercise23,Diet23
24,Hepatitis E,Doctor 24,exercise24,Diet24
25,Alcoholic hepatitis,Doctor 25,exercise25,Diet25
26,Tuberculosis,Doctor 26,exercise26,Diet26
27,Common Cold,Doctor 27,exercise27,Diet27
28,Pneumonia,Doctor 28,exercise28,Diet28
29,Dimorphic hemmorhoids(piles),Doctor 29,exercise29,Diet29
30,Heart attack,Doctor 30,exercise30,Diet30
31,Varicose veins,Doctor 31,exercise31,Diet31
32,Hypothyroidism,Doctor 32,exercise32,Diet32
33,Hyperthyroidism,Doctor 33,exercise33,Diet33
34,Hypoglycemia,Doctor 34,exercise34,Diet34
35,Osteoarthristis,Doctor 35,exercise35,Diet35
36,Arthritis,Doctor 36,exercise36,Diet36
37,(vertigo) Paroymsal  Positional Vertigo,Doctor 37,exercise37,Diet37
38,Acne,Doctor 38,exercise38,Diet38
39,Urinary tract infection,Doctor 39,exercise39,Diet39
40,Psoriasis,Doctor 40,exercise40,Diet40
41,Impetigo,Doctor 41,exercise41,Diet41
